epoch,loss_tot,lr
0,0.425757,0.010000
 1,0.219049,0.010000
 2,0.163015,0.010000
 3,0.094182,0.010000
 4,0.051507,0.010000
 5,0.030190,0.010000
 6,0.027392,0.010000
 7,0.031674,0.010000
 8,0.027848,0.010000
 9,0.029841,0.010000
 10,0.019899,0.010000
 11,0.020115,0.010000
 12,0.020529,0.010000
 13,0.017370,0.010000
 14,0.022886,0.010000
 15,0.025518,0.010000
 16,0.019572,0.010000
 17,0.016790,0.010000
 18,0.017989,0.010000
 19,0.019144,0.010000
 20,0.019881,0.010000
 21,0.018818,0.010000
 22,0.019540,0.010000
 23,0.022728,0.010000
 24,0.023322,0.010000
 25,0.018516,0.010000
 26,0.020181,0.010000
 27,0.021796,0.010000
 28,0.019000,0.010000
 29,0.020866,0.010000
 30,0.019962,0.010000
 31,0.016972,0.010000
 32,0.013171,0.010000
 33,0.014503,0.010000
 34,0.016249,0.005000
 35,0.011417,0.005000
 36,0.015723,0.005000
 37,0.011920,0.005000
 38,0.012088,0.005000
 39,0.014557,0.005000
 
