epoch,loss_tot,lr
0,0.419551,0.010000
 1,0.233964,0.010000
 2,0.175814,0.010000
 3,0.144183,0.010000
 4,0.107627,0.010000
 5,0.056243,0.010000
 6,0.034614,0.010000
 7,0.028202,0.010000
 8,0.027296,0.010000
 9,0.026235,0.010000
 10,0.027043,0.010000
 11,0.027353,0.010000
 12,0.029758,0.010000
 13,0.030851,0.010000
 14,0.032460,0.010000
 15,0.024384,0.010000
 16,0.022465,0.010000
 17,0.025967,0.010000
 18,0.024913,0.010000
 19,0.016211,0.010000
 20,0.023395,0.010000
 21,0.026594,0.010000
 22,0.024201,0.010000
 23,0.023872,0.010000
 24,0.024126,0.010000
 25,0.020955,0.010000
 26,0.017410,0.010000
 27,0.022698,0.010000
 28,0.017465,0.010000
 29,0.021221,0.010000
 30,0.019114,0.010000
 31,0.018837,0.010000
 32,0.024521,0.010000
 33,0.020823,0.010000
 34,0.016018,0.005000
 35,0.015956,0.005000
 36,0.018532,0.005000
 37,0.016718,0.005000
 38,0.018841,0.005000
 39,0.014292,0.005000
 
