epoch,loss_tot,lr
0,0.613506,0.010000
 1,0.295491,0.010000
 2,0.211174,0.010000
 3,0.158189,0.010000
 4,0.109965,0.010000
 5,0.081048,0.010000
 6,0.041204,0.010000
 7,0.036434,0.010000
 8,0.031364,0.010000
 9,0.026470,0.010000
 10,0.022826,0.010000
 11,0.025081,0.010000
 12,0.023287,0.010000
 13,0.021005,0.010000
 14,0.024153,0.010000
 15,0.017323,0.010000
 16,0.018635,0.010000
 17,0.023146,0.010000
 18,0.021672,0.010000
 19,0.016816,0.010000
 20,0.016770,0.010000
 21,0.021514,0.010000
 22,0.019549,0.010000
 23,0.019143,0.010000
 24,0.017692,0.010000
 25,0.018538,0.010000
 26,0.013146,0.010000
 27,0.017992,0.010000
 28,0.017832,0.010000
 29,0.020548,0.010000
 30,0.016503,0.010000
 31,0.016508,0.010000
 32,0.014144,0.010000
 33,0.014653,0.010000
 34,0.013281,0.005000
 35,0.014621,0.005000
 36,0.011052,0.005000
 37,0.013144,0.005000
 38,0.013118,0.005000
 39,0.013346,0.005000
 
