epoch,loss_tot,lr
0,0.563467,0.010000
 1,0.309310,0.010000
 2,0.221390,0.010000
 3,0.144014,0.010000
 4,0.071937,0.010000
 5,0.028398,0.010000
 6,0.028526,0.010000
 7,0.033265,0.010000
 8,0.027906,0.010000
 9,0.029175,0.010000
 10,0.030841,0.010000
 11,0.030476,0.010000
 12,0.021784,0.010000
 13,0.022217,0.010000
 14,0.026894,0.010000
 15,0.022154,0.010000
 16,0.021085,0.010000
 17,0.016567,0.010000
 18,0.022195,0.010000
 19,0.025003,0.010000
 20,0.022770,0.010000
 21,0.026715,0.010000
 22,0.016002,0.010000
 23,0.020060,0.010000
 24,0.019658,0.010000
 25,0.021089,0.010000
 26,0.019418,0.010000
 27,0.019875,0.010000
 28,0.014247,0.010000
 29,0.016169,0.010000
 30,0.018184,0.010000
 31,0.012359,0.010000
 32,0.016517,0.010000
 33,0.015401,0.010000
 34,0.014668,0.005000
 35,0.015994,0.005000
 36,0.014566,0.005000
 37,0.012129,0.005000
 38,0.011850,0.005000
 39,0.012549,0.005000
 
